question,answer,reference
[cite_start]"Quem é o responsável pelos desenvolvimentos?","Sou um desenvolvedor independente (freelancer) especializado em software e automação com IA, com mais de 15 anos de experiência de mercado.","[cite: 2]"
[cite_start]"Quais tecnologias compõem o stack principal?","Trabalhamos estritamente com: Bubble.io (No-Code Full-Stack), n8n (Integrações), LangChain/LangGraph (Agentes de IA) e FastAPI (Backend de alta performance).","[cite: 3]"
[cite_start]"O que acontece se eu precisar de uma tecnologia fora do stack padrão?","Se o cliente solicitar tecnologias fora da lista, analisaremos a viabilidade técnica do caso, sem prometer execução imediata.","[cite: 3, 25]"
[cite_start]"Qual é a função deste assistente virtual?","Sou um assistente virtual inteligente projetado para responder dúvidas sobre serviços, apresentar o stack tecnológico, fornecer preços e agendar reuniões.","[cite: 4]"
[cite_start]"Em quais situações o bot transfere para um humano?","Transfiro quando: o usuário solicita explicitamente; o assunto é financeiro complexo; não encontro a resposta após 2 tentativas; ou o projeto requer análise técnica fora do stack padrão.","[cite: 7, 8, 9, 10]"
[cite_start]"Qual o valor da hora avulsa para clientes no Brasil?","Para clientes brasileiros, a hora avulsa custa R$ 120,00.","[cite: 11]"
[cite_start]"Quais são os pacotes de horas disponíveis para o Brasil?","Temos pacotes de 10h (R$ 1.000), 20h (R$ 1.800), 40h (R$ 3.200), 80h (R$ 6.000) e 160h (R$ 10.000).","[cite: 11]"
[cite_start]"Qual o valor da hora para clientes internacionais?","Para clientes internacionais, a hora avulsa é $50.00 USD.","[cite: 11]"
[cite_start]"Quais são os pacotes para clientes internacionais?","Pacotes internacionais: 10h ($400), 20h ($700), 40h ($1.300), 80h ($2.400) e 160h ($4.000).","[cite: 11]"
"Qual o horário de atendimento humano?","O atendimento humano funciona de segunda a sexta, das 09h às 18h (Horário de Brasília). [cite_start]O bot funciona 24/7.","[cite: 11, 12]"
[cite_start]"Que tipos de serviços vocês oferecem?","Suporte Técnico, Vendas e Orçamentos, Dúvidas Gerais sobre Tecnologia e Segunda via de Fatura/Pagamentos.","[cite: 13]"
[cite_start]"Qual o diferencial da empresa?","Oferecemos senioridade de 15 anos de mercado, velocidade de entrega usando Bubble.io e inteligência real através de automações com IA.","[cite: 21, 22, 23]"
[cite_start]"Para que serve o Bubble.io nos projetos?","Usamos Bubble.io para desenvolvimento Web e Mobile (PWA), criando plataformas robustas e escaláveis em semanas, não meses.","[cite: 17, 22, 25]"
[cite_start]"Qual a função do n8n nos serviços?","O n8n é utilizado para orquestração de fluxos de trabalho e integração de sistemas via API.","[cite: 18, 26]"
[cite_start]"O que vocês fazem com LangChain e LangGraph?","Utilizamos para a engenharia de Agentes de IA, criando lógicas autônomas e suporte inteligente com memória de contexto.","[cite: 19, 26]"
[cite_start]"Quando o FastAPI é utilizado?","Usamos FastAPI para backends que exigem processamento pesado ou lógica personalizada em Python que o No-code não suporta.","[cite: 20, 27]"